series_id,label,ticker,field,units,direction,source_sheet,transform,notes
fx_dxy,ICE US Dollar Index,DXY Curncy,PX_LAST,index,UP=USD strong,FX,log_return,
fx_bbdxy,Bloomberg Dollar Spot Index,BBDXY Index,PX_LAST,index,UP=USD strong,FX,log_return,
fx_eurusd,Euro / US Dollar,EURUSD Curncy,PX_LAST,USD/EUR,UP=EUR strong,FX,log_return,
fx_usdcnh,US Dollar / Offshore Yuan,USDCNH Curncy,PX_LAST,CNH/USD,UP=USD strong,FX,log_return,
fx_audusd,Australian Dollar / US Dollar,AUDUSD Curncy,PX_LAST,USD/AUD,UP=AUD strong,FX,log_return,
fx_usdbrl,US Dollar / Brazilian Real,USDBRL Curncy,PX_LAST,BRL/USD,UP=USD strong,FX,log_return,
fx_usdclp,US Dollar / Chilean Peso,USDCLP Curncy,PX_LAST,CLP/USD,UP=USD strong,FX,log_return,
fx_usdcad,US Dollar / Canadian Dollar,USDCAD Curncy,PX_LAST,CAD/USD,UP=USD strong,FX,log_return,
fx_usdnok,US Dollar / Norwegian Krone,USDNOK Curncy,PX_LAST,NOK/USD,UP=USD strong,FX,log_return,
fx_usdzar,US Dollar / South African Rand,USDZAR Curncy,PX_LAST,ZAR/USD,UP=USD strong,FX,log_return,
ust_10y,10Y US Treasury yield,USGG10YR Index,PX_LAST,yield %,level=yield,Rates_Infl,diff,
ust_5y,5Y US Treasury yield,USGG5YR Index,PX_LAST,yield %,level=yield,Rates_Infl,diff,
ust_2y,2Y US Treasury yield,USGG2YR Index,PX_LAST,yield %,level=yield,Rates_Infl,diff,
tips_10y,10Y TIPS real yield,GTII10 Govt,YLD_CNV_LAST,real yield %,can be negative -> never log,Rates_Infl,diff,
tips_5y,5Y TIPS real yield,GTII5 Govt,YLD_CNV_LAST,real yield %,can be negative -> never log,Rates_Infl,diff,
be_10y,10Y breakeven inflation,USGGBE10 Index,PX_LAST,breakeven %,,Rates_Infl,diff,
be_5y,5Y breakeven inflation,USGGBE05 Index,PX_LAST,breakeven %,,Rates_Infl,diff,
inflsw_5y,5Y USD inflation swap,USSWIT5 Curncy,PX_LAST,swap %,leg for 5y5y,Rates_Infl,diff,
inflsw_10y,10Y USD inflation swap,USSWIT10 Curncy,PX_LAST,swap %,leg for 5y5y,Rates_Infl,diff,
cny_10y,10Y China govt bond yield,GCNY10YR Index,PX_LAST,yield %,source seam 2016-08-02,Rates_Infl,diff,
hy_oas,US Corp High Yield OAS,LF98OAS Index,PX_LAST,OAS % (x100=bp),UP=risk-off,Credit_Vol,diff,
ig_oas,US Agg Corp (IG) OAS,LUACOAS Index,PX_LAST,OAS % (x100=bp),UP=risk-off; long flat runs,Credit_Vol,diff,
vix,CBOE S&P 500 implied vol,VIX Index,PX_LAST,vol pts,UP=risk-off,Credit_Vol,diff,
move,ICE BofA MOVE (rates vol),MOVE Index,PX_LAST,bp vol,UP=rates stress,Credit_Vol,diff,
ovx,CBOE Crude Oil implied vol,OVX Index,PX_LAST,vol pts,UP=oil stress,Credit_Vol,diff,
gvz,CBOE Gold implied vol,GVZ Index,PX_LAST,vol pts,UP=gold stress,Credit_Vol,diff,
spx,S&P 500 (price),SPX Index,PX_LAST,index,UP=risk-on,Equity_Growth,log_return,
mxwo,MSCI World (USD),MXWO Index,PX_LAST,index,global growth,Equity_Growth,log_return,
mxef,MSCI Emerging Markets,MXEF Index,PX_LAST,index,EM growth,Equity_Growth,log_return,
csi300,CSI 300 (China A-shares),SHSZ300 Index,PX_LAST,index,Asia close,Equity_Growth,log_return,
shcomp,Shanghai Composite,SHCOMP Index,PX_LAST,index,Asia close,Equity_Growth,log_return,
hscei,Hang Seng China Enterprises,HSCEI Index,PX_LAST,index,HK close,Equity_Growth,log_return,
xle,Energy Select Sector SPDR,XLE US Equity,PX_LAST,price,energy equity,Equity_Growth,log_return,
bdiy,Baltic Dry Index,BDIY Index,PX_LAST,index,dry-bulk freight,Freight,log_return,
bdti,Baltic Dirty Tanker (pulled as BIDY),BIDY Index,PX_LAST,index,dirty-tanker freight,Freight,log_return,
gpr,Daily Geopolitical Risk (Caldara-Iacoviello),—,GPRD,index,uncertainty (already stationary),GPR,level,
epu,Daily US Economic Policy Uncertainty (EPU),—,daily_policy_index,index,uncertainty (already stationary),EPR,level,
